Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-10-28;69,4397;70,3882;69,255;70,3882;2.351.057;164.765.557
2021-10-27;69,3809;70,5981;68,936;70,1616;2.832.004;197.940.393
2021-10-26;70,0525;70,5142;69,4984;69,7587;2.571.215;179.902.673
2021-10-25;68,8772;70,3631;68,7681;69,5824;3.527.615;245.757.217
2021-10-22;68,7261;69,5992;68,3987;68,9276;2.143.099;148.081.085
2021-10-21;67,8867;69,3641;67,702;68,6086;2.319.626;158.854.690
2021-10-20;68,9276;69,5488;67,5845;68,7933;2.985.252;204.483.582
2021-10-19;69,2382;69,6411;68,6758;69,1459;2.144.202;148.281.838
2021-10-18;70,0357;70,2875;68,3736;68,7933;3.130.245;215.913.702
2021-10-15;69,8678;70,5058;69,7503;70,2204;3.193.596;224.184.192
2021-10-14;69,0535;69,893;68,6338;69,8594;3.839.649;266.874.960
2021-10-13;69,0031;69,6243;68,2141;68,4659;3.242.831;222.761.309
2021-10-12;68,4323;69,6076;68,2392;69,0955;3.366.779;232.371.081
2021-10-11;67,4082;69,7754;66,9717;69,6747;4.645.120;321.057.000
2021-10-08;66,8625;68,1385;66,829;67,7272;5.207.024;352.496.807
2021-10-07;64,2938;66,2162;64,1259;66,0147;4.476.334;293.156.084
2021-10-06;64,0923;64,3945;63,0094;63,4376;4.104.610;261.054.649
2021-10-05;64,8311;64,957;63,8825;64,7975;2.567.710;165.857.131
2021-10-04;64,638;65,2424;63,7314;64,6464;3.090.990;199.553.271
2021-10-01;63,4292;65,4271;62,6317;64,9486;4.324.915;279.021.689
2021-09-30;65,2256;65,4607;64,4029;64,4029;3.478.355;224.954.470
2021-09-29;64,4701;65,3431;64,0756;64,9738;2.673.633;173.514.671
2021-09-28;63,6139;65,553;63,4208;63,9916;6.163.753;396.931.120
2021-09-27;62,9591;64,00;62,7996;63,6306;4.087.547;259.701.996
2021-09-24;61,1962;62,5226;60,4659;62,3547;3.123.712;193.660.282
2021-09-23;60,8604;61,8258;60,617;61,297;3.220.353;197.630.816
2021-09-22;58,6275;60,4239;58,5268;60,382;3.317.125;198.560.869
2021-09-21;58,3841;59,0052;57,872;58,1742;3.099.004;180.812.248
2021-09-20;58,703;58,9213;56,873;58,0483;5.532.292;320.263.310
2021-09-17;61,1542;61,3725;59,5929;59,9035;7.818.528;469.410.462
2021-09-16;60,9276;61,6579;60,2728;60,5498;2.928.154;177.828.217
2021-09-15;60,2812;61,7335;60,2141;60,8688;3.127.405;190.892.810
2021-09-14;60,2812;61,3473;60,2225;60,8772;3.702.579;225.665.533
2021-09-13;58,4176;60,3987;58,4176;60,1889;4.124.762;246.791.016
2021-09-10;57,5866;58,6275;57,5866;58,0399;2.699.687;156.941.569
2021-09-09;57,1501;57,9643;56,7891;57,5026;3.141.858;180.568.202
2021-09-08;58,7954;58,8122;57,3851;57,6789;3.909.693;226.165.378
2021-09-07;58,9969;59,5761;58,8374;59,0808;2.112.522;124.991.244
2021-09-06;59,148;59,4502;58,3841;58,8374;2.376.643;139.944.320
2021-09-03;59,3578;59,6432;58,6527;58,9045;2.043.426;120.594.406
2021-09-02;59,66;60,0546;59,0892;59,2823;2.255.453;133.958.954
2021-09-01;60,6086;60,6758;59,4418;59,66;1.935.176;115.895.166
2021-08-31;60,4911;60,894;59,3242;59,9538;3.419.955;205.249.316
2021-08-30;59,979;60,5079;59,8615;60,1049;1.640.214;98.776.065
2021-08-27;59,4502;59,937;59,1228;59,7775;1.456.148;86.855.430
2021-08-26;59,2991;59,5845;58,787;59,3494;1.822.707;107.998.414
2021-08-25;59,2991;60,021;59,0472;59,702;2.199.447;131.139.492
2021-08-24;59,0892;59,8363;58,7702;59,383;2.420.388;143.786.644
2021-08-23;59,8699;60,0126;58,6527;58,6527;2.624.896;154.838.091
2021-08-20;58,149;58,6695;57,6285;58,6695;2.685.362;156.304.705
2021-08-19;58,5939;59,1396;58,2833;58,4428;3.894.006;228.173.618
2021-08-18;61,1123;61,1207;60,0797;60,2812;2.915.992;175.899.367
2021-08-17;61,9014;61,9937;61,0619;61,0787;2.545.280;156.121.441
2021-08-16;62,8164;63,001;62,086;62,3295;2.161.965;135.017.088
2021-08-13;63,6306;63,9664;63,2949;63,4963;1.583.923;100.736.165
2021-08-12;62,9423;63,7566;62,7072;63,4711;2.302.179;145.922.155
2021-08-11;62,531;63,1018;62,0021;62,8583;2.006.644;125.630.050
2021-08-10;62,3631;62,7324;62,0944;62,489;1.552.543;96.915.848
2021-08-09;62,766;63,3956;62,3631;62,6065;2.232.904;140.025.701
2021-08-06;63,2193;64,6464;62,9507;63,8237;1.991.319;127.081.804
2021-08-05;63,4711;63,7314;62,5813;63,3033;2.001.499;126.313.493
2021-08-04;63,7985;64,4365;63,5047;63,7482;2.189.563;139.897.665
2021-08-03;64,2183;64,3778;63,0682;63,5887;2.050.042;130.584.365
2021-08-02;64,1763;65,0073;63,8573;64,1679;2.702.974;174.170.086
2021-07-30;63,1773;63,4795;62,4806;63,1941;3.300.632;208.230.372
2021-07-29;62,2875;63,9916;61,9349;63,9244;3.157.714;200.381.792
2021-07-28;62,3043;62,7156;61,9433;62,17;1.942.090;120.884.372
2021-07-27;63,0094;63,0094;61,9182;62,128;2.819.559;175.616.238
2021-07-26;62,7156;63,4376;61,7922;63,3368;2.797.665;175.753.003
2021-07-23;60,8604;63,6726;60,8017;63,1857;5.575.664;349.820.560
2021-07-22;60,0714;60,9612;59,9203;59,9203;2.896.807;174.791.781
2021-07-21;57,3095;60,2057;56,4701;59,4669;4.635.267;271.706.086
